title,url,disc_price,original_price
Authentic Uwell Nunchaku 80W TC VW Pen Style Mod - Purple,https://www.cigabuy.com/authentic-uwell-nunchaku-80w-tc-vw-pen-style-mod-purple-p-19157.html,$40.19 ,$16.23
5 x Authentic Wotofo nexMESH Clapton Ni80 + A1 0.2ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-ni80-a1-02ohm-coil-p-19390.html,$10.18 ,$4.08
Authentic Uwell Nunchaku 5ML Sub-Ohm Tank - Purple,https://www.cigabuy.com/authentic-uwell-nunchaku-5ml-sub-ohm-tank-purple-p-19156.html,$19.63 ,$8.11
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$40.87 ,$26.18
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Black,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-black-p-9928.html,$20.99 ,$6.95
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Silver,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-silver-p-9927.html,$20.99 ,$6.95
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,$15.21 ,$3.51
Authentic Wotofo Profile RDTA  - Stainless Steel,https://www.cigabuy.com/authentic-wotofo-profile-rdta-stainless-steel-p-19386.html,$41.29 ,$26.45
Authentic Steam Crave Kit Hadron Mod + Glaz V2 + Squonk Backpack - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-kit-hadron-mod-glaz-v2-squonk-backpack-gunmetal-p-18674.html,$188.47 ,$97.99
3 x Authentic SMOK V12 Prince X2 Coil Head 0.4ohm TPD Version,https://www.cigabuy.com/3-x-authentic-smok-v12-prince-x2-coil-head-04ohm-tpd-version-p-16973.html,$14.01 ,$4.00
Authentic Wotofo Profile RDTA  - Gunmetal,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gunmetal-p-19385.html,$41.29 ,$26.45
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,$14.12 ,$8.27
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask,https://www.cigabuy.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-17899.html,$2.32 ,$0.92
Authentic Geekvape Aegis X 200W TC Box Mod - Stealth Black,https://www.cigabuy.com/authentic-geekvape-aegis-x-200w-tc-box-mod-stealth-black-p-16062.html,$76.22 ,$48.01
Authentic Wotofo Profile RDTA  - Blue,https://www.cigabuy.com/authentic-wotofo-profile-rdta-blue-p-19388.html,$40.87 ,$26.18
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,$31.00 ,$19.12
Authentic Lost Vape Centaurus DNA 250C 200W Mod - Ostrich Tactile Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-mod-ostrich-tactile-carbon-fiber-p-18447.html,$178.49 ,$125.25
Authentic Wotofo Profile RDTA  - Gold,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gold-p-19387.html,$40.87 ,$26.18
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-silver-p-18332.html,$73.06 ,$40.70
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$36.15 ,$17.97
Authentic VOOPOO Too 80W/180W TC Box Mod - Resin S-Opal,https://www.cigabuy.com/authentic-voopoo-too-80w180w-tc-box-mod-resin-s-opal-p-18644.html,$44.65 ,$21.32
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-18997.html,$44.55 ,$18.97
Authentic Wotofo Profile RDTA  - Rainbow,https://www.cigabuy.com/authentic-wotofo-profile-rdta-rainbow-p-19389.html,$40.87 ,$26.18
Authentic Lost Vape Centaurus DNA 250C 200W Mod - Cowhide Tactile Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-mod-cowhide-tactile-carbon-fiber-p-18450.html,$178.49 ,$125.25
